NAMESPACE           NAME                                                              READY   STATUS      RESTARTS         AGE
rook-ceph           rook-ceph-exporter-bulbasaur-785d954c8-tf529                      1/1     Running     0                2d14h
rook-ceph           rook-ceph-exporter-charmander-68955455bb-8r8zt                    1/1     Running     0                2d15h
rook-ceph           rook-ceph-exporter-chikorita-768866f985-hcxlc                     1/1     Running     0                2d15h
rook-ceph           rook-ceph-exporter-cyndaquil-697bd7d58c-jrn44                     1/1     Running     0                2d15h
rook-ceph           rook-ceph-exporter-growlithe-95969c64d-5xvnm                      1/1     Running     0                2d15h
rook-ceph           rook-ceph-exporter-pikachu-78689b6cb9-lpf42                       1/1     Running     0                2d15h
rook-ceph           rook-ceph-exporter-sprigatito-66fd649897-zdvtg                    1/1     Running     0                2d15h
rook-ceph           rook-ceph-exporter-squirtle-7d7867b4f6-jvxjt                      1/1     Running     0                2d15h
rook-ceph           rook-ceph-mds-standard-rwx-a-6bd6586df-q944b                      1/1     Running     0                2d15h
rook-ceph           rook-ceph-mds-standard-rwx-b-779b85d79c-tqmqh                     1/1     Running     0                2d15h
rook-ceph           rook-ceph-mgr-a-5fb858f4f-qksld                                   2/2     Running     0                2d15h
rook-ceph           rook-ceph-mgr-b-7bf766bd9f-h8k24                                  2/2     Running     0                2d15h
rook-ceph           rook-ceph-mon-f-5cc966c797-kp4j9                                  1/1     Running     0                2d14h
rook-ceph           rook-ceph-mon-h-5ccccdb9bc-cblfc                                  1/1     Running     0                2d15h
rook-ceph           rook-ceph-mon-j-746c974688-k9nts                                  1/1     Running     0                2d15h
rook-ceph           rook-ceph-operator-7f67ff775c-m8rqk                               1/1     Running     0                2d15h
rook-ceph           rook-ceph-osd-0-759886b475-2fcjn                                  1/1     Running     0                2d15h
rook-ceph           rook-ceph-osd-1-6d8c5776bc-fkfxk                                  1/1     Running     0                2d15h
rook-ceph           rook-ceph-osd-2-65c544f9b9-g75lf                                  1/1     Running     0                2d15h
rook-ceph           rook-ceph-osd-4-68899c7d97-dpqm8                                  1/1     Running     0                2d14h
rook-ceph           rook-ceph-osd-6-84797665c5-rg57q                                  1/1     Running     0                2d15h
rook-ceph           rook-ceph-osd-7-7f4d84c6d6-vknvl                                  1/1     Running     0                2d15h
rook-ceph           rook-ceph-osd-8-5b654b7fd6-6tvhv                                  1/1     Running     0                2d15h
rook-ceph           rook-ceph-osd-prepare-arcanine-n5ncm                              0/1     Completed   0                2d7h
rook-ceph           rook-ceph-osd-prepare-bulbasaur-7c6xc                             0/1     Completed   0                2d7h
rook-ceph           rook-ceph-osd-prepare-charmander-klccj                            0/1     Completed   0                2d7h
rook-ceph           rook-ceph-osd-prepare-chikorita-646sd                             0/1     Completed   0                2d7h
rook-ceph           rook-ceph-osd-prepare-cyndaquil-vxjsc                             0/1     Completed   0                2d7h
rook-ceph           rook-ceph-osd-prepare-growlithe-26f4m                             0/1     Completed   0                2d7h
rook-ceph           rook-ceph-osd-prepare-pikachu-7v92b                               0/1     Completed   0                2d7h
rook-ceph           rook-ceph-osd-prepare-sprigatito-zlgns                            0/1     Completed   0                2d7h
