NAMESPACE        LAST SEEN   TYPE      REASON               OBJECT                                 MESSAGE
grafana          36m         Normal    Pulled               pod/grafana-69f8c77689-b797j           Container image "quay.io/kiwigrid/k8s-sidecar:2.5.0" already present on machine
grafana          36m         Normal    Created              pod/grafana-69f8c77689-b797j           Created container: grafana-sc-dashboard
grafana          36m         Normal    Started              pod/grafana-69f8c77689-b797j           Started container grafana-sc-dashboard
grafana          36m         Normal    Pulled               pod/grafana-69f8c77689-b797j           Container image "quay.io/kiwigrid/k8s-sidecar:2.5.0" already present on machine
grafana          36m         Normal    Created              pod/grafana-69f8c77689-b797j           Created container: grafana-sc-datasources
grafana          36m         Normal    Started              pod/grafana-69f8c77689-b797j           Started container grafana
grafana          36m         Normal    Created              pod/grafana-69f8c77689-b797j           Created container: grafana
grafana          36m         Warning   Unhealthy            pod/grafana-69f8c77689-b797j           Readiness probe failed: Get "http://10.0.6.176:3000/api/health": dial tcp 10.0.6.176:3000: connect: connection refused
argocd           36m         Normal    ResourceUpdated      application/matrix                     Updated sync status: Synced -> OutOfSync
argocd           36m         Normal    OperationStarted     application/matrix                     Initiated automated sync to [8ba868c5fd3ccb3b46cb323658d752ad01cd24f0]
argocd           36m         Normal    ResourceUpdated      application/matrix                     Updated sync status: OutOfSync -> Synced
argocd           36m         Normal    OperationCompleted   application/matrix                     Sync operation to 8ba868c5fd3ccb3b46cb323658d752ad01cd24f0 succeeded
grafana          36m         Normal    Killing              pod/grafana-577799c989-j7nsb           Stopping container grafana-sc-datasources
grafana          36m         Normal    ScalingReplicaSet    deployment/grafana                     Scaled down replica set grafana-577799c989 from 1 to 0
grafana          36m         Normal    SuccessfulDelete     replicaset/grafana-577799c989          Deleted pod: grafana-577799c989-j7nsb
argocd           36m         Normal    ResourceUpdated      application/grafana                    Updated health status: Progressing -> Healthy
grafana          36m         Normal    Killing              pod/grafana-577799c989-j7nsb           Stopping container grafana
grafana          36m         Normal    Killing              pod/grafana-577799c989-j7nsb           Stopping container grafana-sc-dashboard
argocd           36m         Normal    ResourceUpdated      application/woodpecker                 Updated sync status: Synced -> OutOfSync
argocd           36m         Normal    OperationStarted     application/woodpecker                 Initiated automated sync to [8ba868c5fd3ccb3b46cb323658d752ad01cd24f0]
argocd           36m         Normal    ResourceUpdated      application/woodpecker                 Updated sync status: OutOfSync -> Synced
argocd           36m         Normal    OperationStarted     application/woodpecker                 Initiated automated sync to [8ba868c5fd3ccb3b46cb323658d752ad01cd24f0]
argocd           36m         Normal    OperationCompleted   application/woodpecker                 Sync operation to 8ba868c5fd3ccb3b46cb323658d752ad01cd24f0 succeeded
argocd           36m         Normal    OperationCompleted   application/woodpecker                 Partial sync operation to 8ba868c5fd3ccb3b46cb323658d752ad01cd24f0 succeeded
argocd           33m         Normal    OperationStarted     application/gitea                      Initiated automated sync to [8ba868c5fd3ccb3b46cb323658d752ad01cd24f0]
argocd           33m         Normal    ResourceUpdated      application/gitea                      Updated sync status: Synced -> OutOfSync
argocd           33m         Normal    ResourceUpdated      application/gitea                      Updated sync status: OutOfSync -> Synced
argocd           33m         Normal    OperationCompleted   application/gitea                      Sync operation to 8ba868c5fd3ccb3b46cb323658d752ad01cd24f0 succeeded
argocd           33m         Normal    OperationStarted     application/rook-ceph                  Initiated automated sync to [8ba868c5fd3ccb3b46cb323658d752ad01cd24f0]
argocd           33m         Normal    ResourceUpdated      application/rook-ceph                  Updated sync status: Synced -> OutOfSync
argocd           33m         Normal    OperationCompleted   application/rook-ceph                  Sync operation to 8ba868c5fd3ccb3b46cb323658d752ad01cd24f0 succeeded
argocd           33m         Normal    ResourceUpdated      application/rook-ceph                  Updated sync status: OutOfSync -> Synced
argocd           18m         Normal    ResourceUpdated      application/rook-ceph                  Updated health status: Degraded -> Healthy
argocd           15m         Normal    ResourceUpdated      application/rook-ceph                  Updated health status: Healthy -> Degraded
default          2m12s       Normal    Valid                clustersecretstore/global-secrets      store validated
