NAMESPACE           NAME                                                              READY   STATUS      RESTARTS        AGE
rook-ceph           rook-ceph.rbd.csi.ceph.com-ctrlplugin-5f745fd754-mjgl8            5/5     Running     0               38h
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-29n8t                       2/2     Running     39 (38h ago)    22d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-dcx5w                       2/2     Running     40 (38h ago)    22d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-fdqxc                       2/2     Running     40 (38h ago)    22d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-m4626                       2/2     Running     40 (37h ago)    22d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-prnr6                       2/2     Running     40 (38h ago)    22d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-r2mz4                       2/2     Running     40 (37h ago)    22d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-skvrn                       2/2     Running     40 (38h ago)    22d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-szksm                       2/2     Running     40 (38h ago)    22d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-vjs59                       2/2     Running     42 (38h ago)    22d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-x5hp9                       2/2     Running     40 (38h ago)    22d
sabnzbd             sabnzbd-6fc46c74fc-nqt6f                                          2/2     Running     0               38h
searxng             searxng-main-85d6c58b8c-mv78k                                     1/1     Running     0               38h
searxng             searxng-redis-5b5d46bf8c-gbsgz                                    1/1     Running     0               38h
sonarr              sonarr-6d44cd4845-mwjww                                           1/1     Running     0               38h
volsync-system      volsync-system-5db49859d-sqfqf                                    2/2     Running     0               38h
weaviate-test       weaviate-0                                                        1/1     Running     0               38h
woodpecker          woodpecker-agent-0                                                1/1     Running     0               38h
woodpecker          woodpecker-server-0                                               1/1     Running     2 (110m ago)    38h
zot                 zot-0                                                             1/1     Running     0               38h
