=== Nodes ===
NAME         STATUS   ROLES                       AGE    VERSION        INTERNAL-IP   EXTERNAL-IP   OS-IMAGE                        KERNEL-VERSION           CONTAINER-RUNTIME
arcanine     Ready    <none>                      426d   v1.33.6+k3s1   10.0.20.19    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
bulbasaur    Ready    control-plane,etcd,master   426d   v1.33.6+k3s1   10.0.20.13    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
charmander   Ready    control-plane,etcd,master   426d   v1.33.6+k3s1   10.0.20.11    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
chikorita    Ready    <none>                      338d   v1.33.6+k3s1   10.0.20.15    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
cyndaquil    Ready    <none>                      109d   v1.33.6+k3s1   10.0.20.16    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
growlithe    Ready    <none>                      426d   v1.33.6+k3s1   10.0.20.18    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
pikachu      Ready    <none>                      426d   v1.33.6+k3s1   10.0.20.14    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
sprigatito   Ready    <none>                      246d   v1.33.6+k3s1   10.0.20.20    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
squirtle     Ready    control-plane,etcd,master   426d   v1.33.6+k3s1   10.0.20.12    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
totodile     Ready    <none>                      426d   v1.33.6+k3s1   10.0.20.17    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33

=== Top Nodes ===
NAME         CPU(cores)   CPU(%)   MEMORY(bytes)   MEMORY(%)   
arcanine     486m         6%       6933Mi          10%         
bulbasaur    582m         14%      3655Mi          23%         
charmander   1004m        25%      4945Mi          20%         
chikorita    528m         13%      4881Mi          15%         
cyndaquil    289m         7%       4534Mi          28%         
growlithe    563m         14%      7675Mi          23%         
pikachu      453m         11%      3708Mi          23%         
sprigatito   308m         7%       4133Mi          12%         
squirtle     1078m        26%      4715Mi          29%         
totodile     266m         6%       2482Mi          15%         

=== All Pods ===
NAMESPACE           NAME                                                              READY   STATUS                 RESTARTS          AGE
monitoring-system   monitoring-system-prometheus-node-exporter-xfw6f                  1/1     Running                0                 4h50m
monitoring-system   monitoring-system-prometheus-node-exporter-zzqwh                  1/1     Running                0                 4h50m
monitoring-system   prometheus-monitoring-system-kube-pro-prometheus-0                2/2     Running                0                 4h50m
nibble              nibble-778f44576c-xvf2k                                           1/1     Running                0                 4h32m
nibble-canary       nibble-canary-b9c5f7f95-cq9hn                                     1/1     Running                0                 3h9m
openwebui           openwebui-c9ffc9b4d-pdszv                                         1/1     Running                1 (6h4m ago)      8h
pages               pages-78cd655d8b-fw8kt                                            0/1     CreateContainerError   0                 142m
podwave             podwave-69b8d7b785-rfbrn                                          1/1     Running                0                 147m
postgres            postgres-79fbb6c7bd-nxp6b                                         3/3     Running                0                 8h
qdrant              qdrant-0                                                          1/1     Running                0                 8h
radarr              radarr-f6666f9fc-cqlqw                                            1/1     Running                0                 8h
renovate            renovate-29617320-nvvpf                                           0/1     Completed              0                 4h37m
rook-ceph           ceph-csi-controller-manager-59b6bb679-qj9xt                       1/1     Running                0                 5h37m
rook-ceph           rook-ceph-conversion-webhook-59888b8875-nkdl5                     1/1     Running                0                 5h37m
rook-ceph           rook-ceph-crashcollector-arcanine-5d9d65b756-dsvp5                1/1     Running                0                 5h15m
rook-ceph           rook-ceph-crashcollector-bulbasaur-5479587f64-nzdzp               1/1     Running                0                 5h35m
rook-ceph           rook-ceph-crashcollector-charmander-6f8fdff966-wsk4w              1/1     Running                0                 5h13m
rook-ceph           rook-ceph-crashcollector-chikorita-659f47b6f7-dmvzj               1/1     Running                0                 5h15m
rook-ceph           rook-ceph-crashcollector-cyndaquil-5dbddfb65c-48hdx               1/1     Running                0                 5h15m
rook-ceph           rook-ceph-crashcollector-growlithe-7576697d66-6dzs9               1/1     Running                0                 5h15m
rook-ceph           rook-ceph-crashcollector-pikachu-655f7d5d4c-rlxzt                 1/1     Running                0                 5h13m
rook-ceph           rook-ceph-crashcollector-sprigatito-846c5596b7-t9wvh              1/1     Running                0                 5h35m
rook-ceph           rook-ceph-crashcollector-squirtle-65898d9f6-vrtdt                 1/1     Running                0                 5h35m
rook-ceph           rook-ceph-exporter-arcanine-6b9f6b9b44-r2p9g                      1/1     Running                0                 5h15m
rook-ceph           rook-ceph-exporter-bulbasaur-677df9596d-zlssp                     1/1     Running                0                 5h35m
rook-ceph           rook-ceph-exporter-charmander-6c49cc66c8-2n94q                    1/1     Running                0                 5h13m
rook-ceph           rook-ceph-exporter-chikorita-6b4d4f8b89-dcpf6                     1/1     Running                0                 5h15m
rook-ceph           rook-ceph-exporter-cyndaquil-84f67cd97c-fc7pp                     1/1     Running                0                 5h15m
rook-ceph           rook-ceph-exporter-growlithe-5c4b9ffc54-22qxp                     1/1     Running                0                 5h15m
rook-ceph           rook-ceph-exporter-pikachu-fcbc5784c-6ghvk                        1/1     Running                0                 5h13m
rook-ceph           rook-ceph-exporter-sprigatito-59bd8fc979-pw6z9                    1/1     Running                0                 5h35m
rook-ceph           rook-ceph-exporter-squirtle-5cf47f4684-dw92c                      1/1     Running                0                 5h35m
rook-ceph           rook-ceph-mds-standard-rwx-a-5799ff9d95-qfgpj                     1/1     Running                0                 5h13m
rook-ceph           rook-ceph-mds-standard-rwx-b-665f4d5bc8-wflh5                     1/1     Running                0                 5h13m
rook-ceph           rook-ceph-mgr-a-7cb88dcb57-cwkqw                                  2/2     Running                0                 5h36m
rook-ceph           rook-ceph-mgr-b-d9c587c66-5s4x5                                   2/2     Running                0                 5h35m
rook-ceph           rook-ceph-mon-h-c6b94586d-cz2w9                                   1/1     Running                0                 5h36m
